vertex,purif,variant,n,nonzero,beta,t,p,f_part,xi1
DI 3m,all_thu,z_bruto,147,89,-0.07434115050952039,-1.9923685035709549,0.04914115473159525,3.969532254021566,4.344000215242633
DI 3m,all_thu,z_bruto_purif,147,90,-0.07479180566183377,-2.0018008732424164,0.04809891123335359,4.007206736114101,4.41275487547994
DI 3m,all_thu,z_jk,147,61,-0.07807803829993924,-1.5822401303197418,0.11685002812077044,2.5034838299942335,2.676710384551421
DI 3m,all_thu,z_jk_purif,147,61,-0.07901805423214511,-1.6089944832112288,0.11086750560756078,2.5888632470041695,2.763473081836256
DI 3m,non_copom,z_bruto,147,89,-0.07434115050952039,-1.9923685035709549,0.04914115473159525,3.969532254021566,4.344000215242633
DI 3m,non_copom,z_bruto_purif,147,90,-0.07444939837403106,-1.9935743811788003,0.049006845538106907,3.9743388132924364,4.413654353393589
DI 3m,non_copom,z_jk,147,62,-0.0778915001496753,-1.5548259262279251,0.12324433594833266,2.4174836608705252,2.642536101749879
DI 3m,non_copom,z_jk_purif,147,62,-0.07894413610992912,-1.588675845739073,0.11538792571958002,2.523890942834759,2.7638221990730982
DI 6m,all_thu,z_bruto,147,87,-0.052739248442384964,-2.0364936312928226,0.04442623082937025,4.147306310296226,4.118019841836062
DI 6m,all_thu,z_bruto_purif,147,90,-0.05382664508829981,-2.073380868160718,0.04078745409929865,4.298908224454894,4.318087385713515
DI 6m,all_thu,z_jk,147,62,-0.047974485826567194,-1.645527848440941,0.1030977286906431,2.7077618999946726,2.831502386194794
DI 6m,all_thu,z_jk_purif,147,64,-0.049184072808548626,-1.6632460559196793,0.09949105100131714,2.766387442532369,2.9646692102475205
DI 6m,non_copom,z_bruto,147,87,-0.052739248442384964,-2.0364936312928226,0.04442623082937025,4.147306310296226,4.118019841836062
DI 6m,non_copom,z_bruto_purif,147,90,-0.053032070943407554,-2.0414328314962935,0.04392340852540915,4.167448005510974,4.243048761952857
DI 6m,non_copom,z_jk,147,62,-0.047436095320616024,-1.5648812641737957,0.12086745310786533,2.448853370962177,2.7407378052363067
DI 6m,non_copom,z_jk_purif,147,64,-0.048322793278430004,-1.5850331221059786,0.11621369568430417,2.512329998173026,2.868465180958341
DI 12m,all_thu,z_bruto,147,89,-0.024127406262352057,-1.5005501272872954,0.13672002286519244,2.2516506845019184,2.170310591016758
DI 12m,all_thu,z_bruto_purif,147,90,-0.025427490297943008,-1.59030602150256,0.11501990152875877,2.5290732420273008,2.494789567348192
DI 12m,all_thu,z_jk,147,62,-0.016233647202562485,-0.9380797492602702,0.3505333596762973,0.8799936159722114,0.9281183419204542
DI 12m,all_thu,z_jk_purif,147,62,-0.018509624612074588,-1.0657200563027647,0.2891957273799625,1.1357592384059678,1.2375629994583133
DI 12m,non_copom,z_bruto,147,89,-0.024127406262352057,-1.5005501272872954,0.13672002286519244,2.2516506845019184,2.170310591016758
DI 12m,non_copom,z_bruto_purif,147,90,-0.02481097146008981,-1.5448775512745363,0.1256322612142845,2.3866466484320075,2.357549756202008
DI 12m,non_copom,z_jk,147,63,-0.01569953461644506,-0.8805504562898638,0.3807376907323299,0.7753691060722874,0.867402433674486
DI 12m,non_copom,z_jk_purif,147,63,-0.01724858886255862,-0.9630618796112911,0.3379112131102475,0.9274881839604329,1.066989370452037
DI 24m,all_thu,z_bruto,147,89,-0.018924130821569286,-1.0902009771448913,0.27832548547367525,1.1885381705676759,1.0983102139783156
DI 24m,all_thu,z_bruto_purif,147,90,-0.019401108868268208,-1.1098559239036956,0.26980497073934334,1.2317801718241257,1.1733868790839508
DI 24m,all_thu,z_jk,147,64,-0.006144817668744229,-0.34561043508882694,0.7303839113510878,0.11944657284228825,0.11993761091656163
DI 24m,all_thu,z_jk_purif,147,64,-0.008367877482588283,-0.4660171234158432,0.64224802469555,0.21717195931677727,0.22470216736321333
DI 24m,non_copom,z_bruto,147,89,-0.018924130821569286,-1.0902009771448913,0.27832548547367525,1.1885381705676759,1.0983102139783156
DI 24m,non_copom,z_bruto_purif,147,90,-0.018571992729765428,-1.058280155828437,0.29255606088426034,1.1199568882202608,1.0591553126784634
DI 24m,non_copom,z_jk,147,65,-0.0053246273414364175,-0.2994858486211358,0.7652101425236912,0.08969177352432187,0.09550868408306812
DI 24m,non_copom,z_jk_purif,147,65,-0.006160606907945014,-0.34190566869859335,0.7331615286718489,0.11689948628823227,0.1271003261374747
